Sentence,Words,Entity
,residence,I-E
,of,O
,Sarah,O
,Kazemy,O
,?,O
Sentence: 915,What,O
,are,O
,the,O
,television,B-E
,shows,I-E
,whose,O
,theme,B-E
,music,I-E
,composer's,I-E
,home,B-E
,town,I-E
,is,O
,New,B-E
,York,I-E
,?,O
Sentence: 916,What,O
,is,O
,the,O
,university,B-E
,whose,O
,affiliations's,B-E
,foundation,B-E
,is,O
,Washington,B-E
,D.C.,I-E
,?,O
Sentence: 917,Who,O
,is,O
,the,O
,coach,B-E
,of,O
,1972,O
,Oakland,O
,Raiders,O
,season,O
,?,O
Sentence: 918,What,O
,is,O
,the,O
,constituency,B-E
,of,O
,the,O
,Malik,B-E
,Al-Hassan,I-E
,Yakubu,I-E
,and,O
,land,B-E
,of,O
,the,O
,CitiTrends,B-E
,(radio,I-E
,show),I-E
Sentence: 919,What,O
,is,O
,the,O
,television,B-E
,show,I-E
,whose,O
,composer,B-E
,is,O
,Judy,B-E
,Hart,I-E
,Angelo,I-E
,and,O
,executive,B-E
,producer,I-E
,is,O
,Glen,B-E
,and,I-E
,Les,I-E
,Charles,I-E
,?,O
Sentence: 920,What,O
,is,O
,the,O
,debutteam,B-E
,of,O
,the,O
,soccer,B-E
,player,I-E
,whose,O
,nationalteam,B-E
,is,O
,United,B-E
,States,I-E
,men's,I-E
,national,I-E
,soccer,I-E
,team,I-E
,?,O
Sentence: 921,What,O
,are,O
,the,O
,border,B-E
,of,O
,Shimsa,O
,Plateau,O
,?,O
Sentence: 922,What,O
,is,O
,the,O
,former,B-E
,team,I-E
,of,O
,the,O
,american,B-E
,football,I-E
,players,I-E
,whose,O
,position,B-E
,is,O
,Running,B-E
,back,I-E
,?,O
Sentence: 923,Who,O
,is,O
,the,O
,creators,B-E
,of,O
,the,O
,Theme,B-E
,Time,I-E
,Radio,I-E
,Hour,I-E
,and,O
,musical,B-E
,score,I-E
,by,I-E
,of,O
,the,O
,The,B-E
,Times,I-E
,They,I-E
,Are,I-E
,a-Changin',I-E
,(musical),I-E
Sentence: 924,What,O
,is,O
,the,O
,total,O
,number,O
,of,O
,music,B-E
,genre,I-E
,of,O
,the,O
,video,B-E
,games,I-E
,whose,O
,publisher,B-E
,is,O
,Interplay,B-E
,Entertainment,I-E
,?,O
Sentence: 925,What,O
,is,O
,the,O
,awards,B-E
,of,O
,the,O
,owls,B-E
,whose,O
,award,B-E
,is,O
,Goya,B-E
,Awards,I-E
,?,O
Sentence: 926,How,O
,many,O
,notable,B-E
,work,I-E
,of,O
,the,O
,writers,B-E
,whose,O
,notableworks,B-E
,is,O
,The,B-E
,Sarah,I-E
,Jane,I-E
,Adventures,I-E
,are,O
,there,O
,?,O
Sentence: 927,What,O
,is,O
,the,O
,race,B-E
,of,O
,the,O
,race,B-E
,horses,I-E
,whose,O
,grandsire,B-E
,is,O
,Wild,B-E
,Risk,I-E
,?,O
Sentence: 928,What,O
,is,O
,the,O
,tenant,B-E
,of,O
,the,O
,stadium,B-E
,which,O
,is,O
,the,O
,venue,B-E
,of,O
,WCW,B-E
,Mayhem,I-E
,?,O
Sentence: 929,What,O
,is,O
,the,O
,headcoach,B-E
,of,O
,the,O
,201415,B-E
,Virginia,I-E
,Tech,I-E
,Hokies,I-E
,men's,I-E
,basketball,I-E
,team,I-E
,and,O
,coach,B-E
,of,O
,the,O
,201213,B-E
,Marquette,I-E
,Golden,I-E
,Eagles,I-E
,men's,I-E
,basketball,I-E
,team,I-E
Sentence: 930,What,O
,are,O
,the,O
,race,B-E
,of,O
,Martin,O
,Molony,O
,?,O
Sentence: 931,What,O
,is,O
,the,O
,company,B-E
,whose,O
,services,B-E
,is,O
,OneDrive,B-E
,?,O
Sentence: 932,What,O
,is,O
,the,O
,region,B-E
,of,O
,the,O
,Soylent,B-E
,(drink),I-E
,and,O
,Bannock,B-E
,(food),I-E
Sentence: 933,What,O
,is,O
,the,O
,medals,B-E
,of,O
,the,O
,writer,B-E
,whose,O
,subject,B-E
,of,I-E
,(country),I-E
,is,O
,Ottoman,B-E
,Empire,I-E
,?,O
Sentence: 934,What,O
,is,O
,the,O
,television,B-E
,show,I-E
,whose,O
,literary,B-E
,genre,I-E
,is,O
,Science,B-E
,fiction,I-E
,and,O
,network,B-E
,is,O
,BBC,B-E
,HD,I-E
,?,O
Sentence: 935,Who,O
,is,O
,the,O
,person,B-E
,whose,O
,opponents,B-E
,are,O
,Tom,B-E
,McLaury,I-E
,and,O
,Ike,B-E
,Clanton,I-E
,?,O
Sentence: 936,What,O
,are,O
,the,O
,products,B-E
,of,O
,Playboy,O
,Enterprises,O
,?,O
Sentence: 937,What,O
,is,O
,the,O
,former,B-E
,broadcast,I-E
,network,I-E
,of,O
,the,O
,television,B-E
,station,I-E
,which,O
,is,O
,the,O
,sister,B-E
,stations,I-E
,of,O
,WGBC,B-E
,?,O
Sentence: 938,What,O
,is,O
,the,O
,origin,B-E
,of,O
,the,O
,Hirth,B-E
,Acrostar,I-E
,and,O
,Cobra,B-E
,(missile),I-E
Sentence: 939,Who,O
,is,O
,the,O
,Nickname,B-E
,of,O
,Daniel,O
,O'Regan,O
,?,O
Sentence: 940,What,O
,is,O
,the,O
,belongs,B-E
,to,I-E
,of,O
,the,O
,websites,B-E
,whose,O
,writers,B-E
,is,O
,Jimmy,B-E
,Wales,I-E
,?,O
Sentence: 941,What,O
,are,O
,the,O
,bridges,B-E
,whose,O
,located,B-E
,in,I-E
,area,I-E
,is,O
,California,B-E
,?,O
Sentence: 942,What,O
,is,O
,the,O
,home,B-E
,town,I-E
,of,O
,the,O
,Danny,B-E
,Felice,I-E
,and,O
,Cline,B-E
,Buckens,I-E
Sentence: 943,What,O
,is,O
,the,O
,leader,B-E
,of,O
,the,O
,government,B-E
,agencies,I-E
,whose,O
,jurisdiction,B-E
,is,O
,German-occupied,B-E
,Europe,I-E
,?,O
Sentence: 944,What,O
,are,O
,the,O
,companies,B-E
,whose,O
,location,B-E
,city's,I-E
,leader,B-E
,name,I-E
,is,O
,Denzil,B-E
,Minnan-Wong,I-E
,?,O
Sentence: 945,What,O
,is,O
,the,O
,largest,B-E
,city,I-E
,of,O
,the,O
,administrative,B-E
,region,I-E
,which,O
,is,O
,the,O
,birthplace,B-E
,of,O
,Pat,B-E
,Kirkwood,I-E
,(racing,I-E
,driver),I-E
,?,O
Sentence: 946,What,O
,is,O
,the,O
,source,B-E
,country,I-E
,of,O
,the,O
,Water,B-E
,resources,I-E
,management,I-E
,in,I-E
,El,I-E
,Salvador,I-E
,and,O
,nation,B-E
,of,O
,the,O
,Sierra,B-E
,del,I-E
,Merendn,I-E
Sentence: 947,What,O
,is,O
,the,O
,academic,B-E
,journal,I-E
,whose,O
,edited,B-E
,by,I-E
,is,O
,Stephen,B-E
,Law,I-E
,?,O
Sentence: 948,What,O
,is,O
,the,O
,awards,B-E
,of,O
,the,O
,artist,B-E
,whose,O
,training,B-E
,is,O
,Academy,B-E
,of,I-E
,Fine,I-E
,Arts,I-E
,In,I-E
,d,I-E
,?,O
Sentence: 949,What,O
,are,O
,the,O
,owls,B-E
,whose,O
,youthclubs's,B-E
,ground,B-E
,is,O
,Camp,B-E
,Nou,I-E
,?,O
Sentence: 950,Is,O
,Mumbai,B-E
,the,O
,serving,B-E
,railway,I-E
,line,I-E
,of,O
,Daund,B-E
,Junction,I-E
,railway,I-E
,station,I-E
,?,O
Sentence: 951,What,O
,is,O
,the,O
,musical,B-E
,artist,I-E
,whose,O
,associated,B-E
,musical,I-E
,artist,I-E
,is,O
,Tony,B-E
,Allen,I-E
,(musician),I-E
,and,O
,label,B-E
,is,O
,Celluloid,B-E
,Records,I-E
,?,O
Sentence: 952,Who,O
,are,O
,the,O
,basketball,B-E
,players,I-E
,whose,O
,played,B-E
,for,I-E
,is,O
,Phoenix,B-E
,Suns,I-E
,?,O
Sentence: 953,What,O
,is,O
,the,O
,relation,B-E
,of,O
,the,O
,George,B-E
,Madison,I-E
,and,O
,leader,B-E
,of,O
,the,O
,United,B-E
,States,I-E
,House,I-E
,of,I-E
,Representatives,I-E
,elections,I-E
,1788,I-E
,and,I-E
,1789,I-E
Sentence: 954,How,O
,many,O
,derived,B-E
,from,I-E
,are,O
,there,O
,of,O
,the,O
,musicals,B-E
,whose,O
,lyrics,B-E
,is,O
,Sheldon,B-E
,Harnick,I-E
,?,O
Sentence: 955,What,O
,is,O
,the,O
,office,B-E
,holder,I-E
,whose,O
,married,B-E
,to,I-E
,is,O
,Dolley,B-E
,Madison,I-E
,and,O
,allegiance,B-E
,is,O
,Colony,B-E
,of,I-E
,Virginia,I-E
,?,O
Sentence: 956,Is,O
,Ethiopia,B-E
,the,O
,anthem,B-E
,of,O
,Derg,B-E
,?,O
Sentence: 957,What,O
,is,O
,the,O
,home,B-E
,town,I-E
,of,O
,the,O
,journalist,B-E
,whose,O
,employer,B-E
,is,O
,Ottawa,B-E
,Citizen,I-E
,?,O
Sentence: 958,How,O
,many,O
,other,O
,non-fiction,B-E
,subject,I-E
,are,O
,there,O
,of,O
,the,O
,books,B-E
,whose,O
,non-fiction,B-E
,subject,I-E
,is,O
,Ankh-Morpork,B-E
,City,I-E
,Watch,I-E
,?,O
Sentence: 959,What,O
,is,O
,the,O
,licensee,B-E
,of,O
,EXXV-TV,O
,?,O
Sentence: 960,What,O
,are,O
,the,O
,board,B-E
,of,O
,Jimmy,O
,Wales,O
,?,O
Sentence: 961,What,O
,is,O
,the,O
,job,B-E
,of,O
,the,O
,musical,B-E
,artists,I-E
,whose,O
,associated,B-E
,musical,I-E
,artist,I-E
,is,O
,Steve,B-E
,Winwood,I-E
,?,O
Sentence: 962,What,O
,is,O
,the,O
,origin,B-E
,of,O
,the,O
,musical,B-E
,artist,I-E
,whose,O
,associated,B-E
,band,I-E
,is,O
,Ziggi,B-E
,Recado,I-E
,?,O
Sentence: 963,What,O
,is,O
,the,O
,nominee,B-E
,of,O
,Jack,O
,Ryan,O
,(politician),O
,?,O
Sentence: 964,What,O
,is,O
,the,O
,division,B-E
,of,O
,the,O
,Serbia,B-E
,national,I-E
,American,I-E
,football,I-E
,team,I-E
,and,O
,region,B-E
,of,O
,the,O
,Dobinsk,B-E
,Ice,I-E
,Cave,I-E
Sentence: 965,What,O
,is,O
,the,O
,royalty,B-E
,whose,O
,mam,B-E
,is,O
,Cleopatra,B-E
,V,I-E
,of,I-E
,Egypt,I-E
,and,O
,parent,B-E
,is,O
,Ptolemy,B-E
,XII,I-E
,Auletes,I-E
,?,O
Sentence: 966,What,O
,are,O
,the,O
,major,B-E
,shrine,I-E
,of,O
,Jovan,O
,Vladimir,O
,?,O
Sentence: 967,What,O
,are,O
,the,O
,television,B-E
,shows,I-E
,whose,O
,company's,B-E
,is,B-E
,owned,I-E
,by,I-E
,is,O
,CBS,B-E
,Corporation,I-E
,?,O
Sentence: 968,Who,O
,is,O
,the,O
,person,B-E
,whose,O
,home,B-E
,town,I-E
,is,O
,Marlboro,B-E
,Township,I-E
,New,I-E
,Jersey,I-E
,?,O
Sentence: 969,What,O
,is,O
,the,O
,national,B-E
,origin,I-E
,of,O
,the,O
,aircraft,B-E
,whose,O
,built,B-E
,by,I-E
,is,O
,Start,B-E
,+,I-E
,Flug,I-E
,?,O
Sentence: 970,How,O
,many,O
,other,O
,family,B-E
,of,O
,the,O
,mammals,B-E
,whose,O
,family,B-E
,is,O
,Hominidae,B-E
,are,O
,there,O
,?,O
Sentence: 971,What,O
,is,O
,the,O
,former,B-E
,team,I-E
,of,O
,the,O
,american,B-E
,football,I-E
,player,I-E
,who,O
,is,O
,the,O
,coach,B-E
,of,O
,2006,B-E
,Oakland,I-E
,Raiders,I-E
,season,I-E
,?,O
Sentence: 972,How,O
,many,O
,television,B-E
,shows,I-E
,are,O
,there,O
,whose,O
,created,B-E
,by's,I-E
,associated,B-E
,band,I-E
,is,O
,Lewis,B-E
,Hamilton,I-E
,?,O
Sentence: 973,How,O
,many,O
,played,B-E
,for,I-E
,are,O
,there,O
,of,O
,the,O
,ice,B-E
,hockey,I-E
,players,I-E
,whose,O
,former,B-E
,team,I-E
,is,O
,Boston,B-E
,Bruins,I-E
,?,O
Sentence: 974,What,O
,is,O
,the,O
,television,B-E
,show,I-E
,whose,O
,artist,B-E
,(non-musical)'s,I-E
,POD,B-E
,is,O
,Midhurst,B-E
,?,O
Sentence: 975,What,O
,are,O
,the,O
,television,B-E
,shows,I-E
,whose,O
,network's,B-E
,sister,B-E
,names,I-E
,is,O
,The,B-E
,CW,I-E
,?,O
Sentence: 976,How,O
,many,O
,notable,B-E
,work,I-E
,are,O
,there,O
,of,O
,the,O
,writer,B-E
,who,O
,is,O
,the,O
,painters,B-E
,of,O
,The,B-E
,Sarah,I-E
,Jane,I-E
,Adventures,I-E
,?,O
Sentence: 977,What,O
,is,O
,the,O
,founders,B-E
,of,O
,the,O
,Sea,B-E
,Gayle,I-E
,Music,I-E
,and,O
,judges,B-E
,of,O
,the,O
,Rising,B-E
,Star,I-E
,(U.S.,I-E
,TV,I-E
,series),I-E
Sentence: 978,What,O
,is,O
,the,O
,owning,B-E
,organisation,I-E
,of,O
,Ford,O
,Kansas,O
,City,O
,Assembly,O
,Plant,O
,?,O
Sentence: 979,What,O
,is,O
,the,O
,label,B-E
,of,O
,I,O
,Pray,O
,on,O
,Christmas,O
,?,O
Sentence: 980,What,O
,is,O
,the,O
,destination,B-E
,of,O
,Novair,O
,International,O
,Airways,O
,?,O
Sentence: 981,What,O
,is,O
,the,O
,spouse,B-E
,of,O
,William,O
,Menelaus,O
,?,O
Sentence: 982,Count,O
,the,O
,actress,B-E
,in,O
,Lucy,B-E
,Sullivan,I-E
,Is,I-E
,Getting,I-E
,Married,I-E
,?,O
Sentence: 983,What,O
,are,O
,the,O
,mammals,B-E
,whose,O
,order,B-E
,(taxonomy),I-E
,is,O
,Diprotodontia,B-E
,?,O
Sentence: 984,Count,O
,the,O
,number,O
,of,O
,Guests,B-E
,in,O
,The,B-E
,Other,I-E
,Side,I-E
,(The,I-E
,Outer,I-E
,Limits),I-E
,?,O
Sentence: 985,What,O
,is,O
,the,O
,river,B-E
,whose,O
,river,B-E
,mouth,I-E
,is,O
,Clatsop,B-E
,County,I-E
,Oregon,I-E
,and,O
,source,B-E
,is,O
,Columbia,B-E
,Lake,I-E
,?,O
Sentence: 986,Is,O
,Dave,B-E
,Schulz,I-E
,(musician),I-E
,the,O
,band,B-E
,member,I-E
,of,O
,Berlin,B-E
,(band),I-E
,?,O
Sentence: 987,What,O
,are,O
,the,O
,airlines,B-E
,whose,O
,hub,B-E
,airport,I-E
,is,O
,Los,B-E
,Angeles,I-E
,International,I-E
,Airport,I-E
,?,O
Sentence: 988,Who,O
,are,O
,the,O
,people,B-E
,whose,O
,state,B-E
,of,I-E
,origin,I-E
,is,O
,Filipinos,B-E
,?,O
Sentence: 989,What,O
,is,O
,the,O
,awards,B-E
,of,O
,the,O
,person,B-E
,who,O
,is,O
,the,O
,producer,B-E
,of,O
,Paradise,B-E
,Place,I-E
,?,O
Sentence: 990,What,O
,is,O
,the,O
,location,B-E
,town,I-E
,of,O
,Seattle,O
,Great,O
,Wheel,O
,?,O
Sentence: 991,What,O
,are,O
,the,O
,line,B-E
,of,O
,Vadodara,O
,Junction,O
,railway,O
,station,O
,?,O
Sentence: 992,What,O
,is,O
,the,O
,college,B-E
,of,O
,Jon,O
,Curran,O
,?,O
Sentence: 993,What,O
,is,O
,the,O
,movie,B-E
,whose,O
,screenplay,B-E
,is,O
,Daniel,B-E
,Waters,I-E
,(screenwriter),I-E
,and,O
,film,B-E
,director,I-E
,is,O
,Tim,B-E
,Burton,I-E
,?,O
Sentence: 994,What,O
,is,O
,the,O
,producer,B-E
,of,O
,the,O
,television,B-E
,show,I-E
,which,O
,is,O
,the,O
,known,B-E
,for,I-E
,of,O
,Scott,B-E
,Haran,I-E
,?,O
Sentence: 995,What,O
,is,O
,the,O
,location,B-E
,of,I-E
,birth,I-E
,of,O
,the,O
,jockey,B-E
,(horse,I-E
,racer),I-E
,who,O
,is,O
,the,O
,breeder,B-E
,of,O
,De,B-E
,La,I-E
,Rose,I-E
,?,O
Sentence: 996,Who,O
,is,O
,the,O
,Artist,B-E
,of,O
,Madagascar:,O
,Operation,O
,Penguin,O
,?,O
Sentence: 997,What,O
,are,O
,the,O
,information,B-E
,appliances,I-E
,whose,O
,manufacturer's,B-E
,location,B-E
,city,I-E
,is,O
,Taiwan,B-E
,?,O
Sentence: 998,What,O
,is,O
,the,O
,debutteam,B-E
,of,O
,the,O
,Harry,B-E
,Huston,I-E
,and,O
,Dick,B-E
,Spalding,I-E
Sentence: 999,What,O
,is,O
,the,O
,layout,B-E
,of,O
,Subaru,O
,Legacy,O
,(second,O
,generation),O
,?,O
Sentence: 1000,How,O
,many,O
,other,O
,wine,B-E
,region,I-E
,are,O
,there,O
,of,O
,the,O
,grapes,B-E
,whose,O
,wine,B-E
,region,I-E
,is,O
,Michigan,B-E
,?,O
Sentence: 1001,What,O
,is,O
,the,O
,office,B-E
,holder,I-E
,whose,O
,constituencies,B-E
,are,O
,Duboce,B-E
,Triangle,I-E
,San,I-E
,Francisco,I-E
,and,O
,Haight-Ashbury,B-E
,?,O
Sentence: 1002,Give,O
,the,O
,total,O
,number,O
,of,O
,sport,B-E
,of,O
,the,O
,universities,B-E
,whose,O
,affiliation,B-E
,is,O
,International,B-E
,Association,I-E
,of,I-E
,Universities,I-E
,.,O
Sentence: 1003,What,O
,is,O
,the,O
,leader,B-E
,of,O
,the,O
,government,B-E
,agency,I-E
,which,O
,is,O
,the,O
,military,B-E
,unit,I-E
,of,O
,Erich,B-E
,Kempka,I-E
,?,O
Sentence: 1004,What,O
,is,O
,the,O
,alma,B-E
,mater,I-E
,of,O
,the,O
,senator,B-E
,who,O
,is,O
,the,O
,successor,B-E
,of,O
,Warren,B-E
,Magnuson,I-E
,?,O
Sentence: 1005,Is,O
,Eddie,B-E
,Bravo,I-E
,the,O
,trainer,B-E
,of,O
,Shinya,B-E
,Aoki,I-E
,?,O
Sentence: 1006,List,O
,the,O
,battles,B-E
,of,O
,the,O
,politicians,B-E
,whose,O
,alma,B-E
,mater,I-E
,is,O
,United,B-E
,States,I-E
,Army,I-E
,Command,I-E
,and,I-E
,General,I-E
,Staff,I-E
,College,I-E
,.,O
Sentence: 1007,What,O
,is,O
,the,O
,writer,B-E
,of,O
,the,O
,Alan,B-E
,Freeman,I-E
,Days,I-E
,and,O
,writer,B-E
,of,O
,the,O
,Come,B-E
,On,I-E
,Over,I-E
,(Bee,I-E
,Gees,I-E
,song),I-E
Sentence: 1008,What,O
,is,O
,the,O
,company,B-E
,whose,O
,subsidiary,B-E
,is,O
,Tandem,B-E
,Computers,I-E
,and,O
,founded,B-E
,by,I-E
,is,O
,Jim,B-E
,Harris,I-E
,(entrepreneur),I-E
,?,O
Sentence: 1009,What,O
,is,O
,the,O
,total,O
,number,O
,of,O
,books,B-E
,whose,O
,writer's,B-E
,resting,B-E
,place,I-E
,is,O
,Convent,B-E
,of,I-E
,the,I-E
,Barefoot,I-E
,Trinitarians,I-E
,?,O
Sentence: 1010,What,O
,is,O
,the,O
,settlement,B-E
,whose,O
,mayor,B-E
,is,O
,Esther,B-E
,Alder,I-E
,and,O
,neighboring,B-E
,municipality,I-E
,is,O
,Pregny-Chambsy,B-E
,?,O
Sentence: 1011,Is,O
,Jordan,B-E
,Cronenweth,I-E
,the,O
,cinematographer,B-E
,of,O
,Blade,B-E
,Runner,I-E
,?,O
Sentence: 1012,What,O
,is,O
,the,O
,species,B-E
,of,O
,the,O
,Panthera,B-E
,leo,I-E
,fossilis,I-E
,and,O
,Liger,B-E
Sentence: 1013,What,O
,is,O
,the,O
,street,B-E
,address,I-E
,of,O
,Rhodes-Haverty,O
,Building,O
,?,O
Sentence: 1014,What,O
,is,O
,the,O
,commander,B-E
,of,O
,the,O
,military,B-E
,conflicts,I-E
,whose,O
,place,B-E
,of,I-E
,military,I-E
,conflict,I-E
,is,O
,Sandusky,B-E
,County,I-E
,Ohio,I-E
,?,O
Sentence: 1015,What,O
,is,O
,the,O
,founded,B-E
,by,I-E
,of,O
,the,O
,city,B-E
,which,O
,is,O
,the,O
,death,B-E
,place,I-E
,of,O
,Pat,B-E
,Vincent,I-E
,?,O
Sentence: 1016,What,O
,is,O
,the,O
,country,B-E
,whose,O
,currency,B-E
,is,O
,Solidus,B-E
,(coin),I-E
,and,O
,administrative,B-E
,headquarters,I-E
,is,O
,Nicomedia,B-E
,?,O
Sentence: 1017,What,O
,is,O
,the,O
,company,B-E
,whose,O
,services,B-E
,is,O
,OneDrive,B-E
,and,O
,products,B-E
,is,O
,Microsoft,B-E
,Visual,I-E
,Studio,I-E
,?,O
Sentence: 1018,What,O
,is,O
,the,O
,river,B-E
,whose,O
,mouth,B-E
,place,I-E
,is,O
,Old,B-E
,Lyme,I-E
,Connecticut,I-E
,?,O
Sentence: 1019,What,O
,is,O
,the,O
,division,B-E
,of,O
,the,O
,Runewaker,B-E
,Entertainment,I-E
,and,O
,destinations,B-E
,of,O
,the,O
,Airtours,B-E
,International,I-E
,Airways,I-E
Sentence: 1020,What,O
,is,O
,the,O
,television,B-E
,show,I-E
,whose,O
,network,B-E
,is,O
,Prime,B-E
,Time,I-E
,Entertainment,I-E
,Network,I-E
,and,O
,executive,B-E
,producer,I-E
,is,O
,Douglas,B-E
,Netter,I-E
,?,O
Sentence: 1021,What,O
,is,O
,the,O
,President,B-E
,of,O
,the,O
,tennis,B-E
,player,I-E
,whose,O
,predecessor,B-E
,is,O
,John,B-E
,W.,I-E
,Weeks,I-E
,?,O
Sentence: 1022,What,O
,are,O
,the,O
,legislatures,B-E
,whose,O
,leader's,B-E
,monarch,B-E
,is,O
,Willem-Alexander,B-E
,of,I-E
,the,I-E
,Netherlands,I-E
,?,O
Sentence: 1023,What,O
,is,O
,the,O
,Food,B-E
,whose,O
,ingredient,B-E
,is,O
,Acer,B-E
,nigrum,I-E
,?,O
Sentence: 1024,What,O
,is,O
,the,O
,prospect,B-E
,team,I-E
,of,O
,Mikhail,O
,Pashnin,O
,?,O
Sentence: 1025,What,O
,is,O
,the,O
,predecessor,B-E
,of,O
,BMW,O
,M40,O
,?,O
Sentence: 1026,What,O
,is,O
,the,O
,cities,B-E
,of,O
,the,O
,sea,B-E
,which,O
,is,O
,the,O
,outflow,B-E
,of,O
,Ionian,B-E
,Sea,I-E
,?,O
Sentence: 1027,Is,O
,Beaver,B-E
,Falls,I-E
,High,I-E
,School,I-E
,the,O
,high,B-E
,school,I-E
,of,O
,Joe,B-E
,Namath,I-E
,?,O
Sentence: 1028,List,O
,the,O
,route,B-E
,start,I-E
,of,O
,the,O
,railway,B-E
,lines,I-E
,whose,O
,system,B-E
,is,O
,Chicago,B-E
,and,I-E
,North,I-E
,Western,I-E
,Transportation,I-E
,Company,I-E
,.,O
Sentence: 1029,Give,O
,me,O
,a,O
,count,O
,of,O
,mammals,B-E
,whose,O
,order,B-E
,(taxonomy),I-E
,is,O
,Primate,B-E
,?,O
Sentence: 1030,What,O
,is,O
,the,O
,television,B-E
,show,I-E
,whose,O
,distributed,B-E
,by,I-E
,is,O
,Broadcast,B-E
,syndication,I-E
,?,O
Sentence: 1031,What,O
,is,O
,the,O
,President,B-E
,of,O
,the,O
,office,B-E
,holder,I-E
,who,O
,is,O
,the,O
,leader,B-E
,of,O
,United,B-E
,States,I-E
,House,I-E
,of,I-E
,Representatives,I-E
,elections,I-E
,1790,I-E
,?,O
Sentence: 1032,What,O
,is,O
,the,O
,television,B-E
,show,I-E
,whose,O
,producer,B-E
,is,O
,Stephen,B-E
,E.,I-E
,Ambrose,I-E
,and,O
,company,B-E
,is,O
,DreamWorks,B-E
,Television,I-E
,?,O
Sentence: 1033,What,O
,river's,B-E
,mouth,B-E
,location,I-E
,is,O
,Limerick,B-E
Sentence: 1034,Who,O
,is,O
,the,O
,opponent,B-E
,of,O
,United,O
,States,O
,House,O
,of,O
,Representatives,O
,elections,O
,in,O
,Ohio,O
,2010,O
,?,O
Sentence: 1035,What,O
,is,O
,the,O
,book,B-E
,whose,O
,written,B-E
,by,I-E
,is,O
,Laozi,B-E
,?,O
Sentence: 1036,What,O
,is,O
,the,O
,children,B-E
,of,O
,the,O
,office,B-E
,holders,I-E
,whose,O
,sons,B-E
,is,O
,Marvin,B-E
,Bush,I-E
,?,O
Sentence: 1037,List,O
,the,O
,source,B-E
,country,I-E
,of,O
,the,O
,rivers,B-E
,whose,O
,river,B-E
,mouth,I-E
,is,O
,Caspian,B-E
,Sea,I-E
,.,O
Sentence: 1038,What,O
,is,O
,the,O
,nearest,B-E
,city,I-E
,of,O
,Elliott,O
,Bay,O
,?,O
Sentence: 1039,What,O
,is,O
,the,O
,venerated,B-E
,in,I-E
,of,O
,the,O
,royalties,B-E
,whose,O
,major,B-E
,shrine,I-E
,is,O
,Westminster,B-E
,Abbey,I-E
,?,O
Sentence: 1040,What,O
,is,O
,the,O
,saint,B-E
,whose,O
,major,B-E
,shrine,I-E
,is,O
,Canada,B-E
,and,O
,canonized,B-E
,by,I-E
,is,O
,Pope,B-E
,Benedict,I-E
,XVI,I-E
,?,O
Sentence: 1041,Who,O
,is,O
,the,O
,flagbearer,B-E
,of,O
,Australia,O
,at,O
,the,O
,2008,O
,Summer,O
,Olympics,O
,?,O
Sentence: 1042,What,O
,is,O
,the,O
,vice,B-E
,president,I-E
,of,O
,the,O
,Warren,B-E
,G.,I-E
,Harding,I-E
,and,O
,president,B-E
,of,O
,the,O
,Charles,B-E
,Evans,I-E
,Hughes,I-E
Sentence: 1043,What,O
,are,O
,the,O
,soccer,B-E
,managers,I-E
,whose,O
,manager,B-E
,club's,I-E
,ground,B-E
,is,O
,Riverside,B-E
,Stadium,I-E
,?,O
Sentence: 1044,Is,O
,Colorado,B-E
,the,O
,route,B-E
,end,I-E
,of,O
,Utah,B-E
,State,I-E
,Route,I-E
,162,I-E
,?,O
Sentence: 1045,What,O
,is,O
,the,O
,products,B-E
,of,O
,the,O
,Playboy,B-E
,Enterprises,I-E
,and,O
,recognition,B-E
,title,I-E
,of,O
,the,O
,Frank,B-E
,Thorne,I-E
Sentence: 1046,Who,O
,is,O
,the,O
,office,B-E
,holder,I-E
,whose,O
,constituency,B-E
,is,O
,Duboce,B-E
,Triangle,I-E
,San,I-E
,Francisco,I-E
,?,O
Sentence: 1047,Who,O
,is,O
,the,O
,person,B-E
,whose,O
,parent,B-E
,is,O
,Mary,B-E
,(mother,I-E
,of,I-E
,Jesus),I-E
,?,O
Sentence: 1048,What,O
,is,O
,the,O
,Band,B-E
,whose,O
,current,B-E
,members,I-E
,is,O
,Joe,B-E
,Hahn,I-E
,?,O
Sentence: 1049,What,O
,is,O
,the,O
,prospect,B-E
,team,I-E
,of,O
,the,O
,Mikhail,B-E
,Pashnin,I-E
,and,O
,played,B-E
,for,I-E
,of,O
,the,O
,Wilfred,B-E
,McDonald,I-E
Sentence: 1050,List,O
,the,O
,manufacturer,B-E
,of,O
,the,O
,rockets,B-E
,whose,O
,launch,B-E
,site,I-E
,is,O
,Vandenberg,B-E
,Air,I-E
,Force,I-E
,Base,I-E
,.,O
Sentence: 1051,What,O
,is,O
,the,O
,total,O
,number,O
,of,O
,home,B-E
,stadium,I-E
,of,O
,the,O
,soccer,B-E
,club,I-E
,seasons,I-E
,whose,O
,chairman,B-E
,is,O
,Merritt,B-E
,Paulson,I-E
,?,O
Sentence: 1052,What,O
,are,O
,the,O
,mammals,B-E
,whose,O
,order,B-E
,(taxonomy),I-E
,is,O
,Primate,B-E
,?,O
Sentence: 1053,What,O
,is,O
,the,O
,order,B-E
,of,O
,Julius,O
,C.,O
,Burrows,O
,?,O
Sentence: 1054,What,O
